,Month,Hour,Day Type,Load [kWh]
243,1,4,4,15.46
244,1,5,4,14.92
245,1,6,4,15.46
246,1,7,4,19.93
247,1,8,4,35.12
248,1,9,4,74.71
249,1,10,4,62.03
250,1,11,4,63.44
251,1,12,4,72.65
252,1,13,4,79.23
253,1,14,4,84.71
254,1,15,4,85.24000000000001
255,1,16,4,81.52
256,1,17,4,72.46000000000001
257,1,18,4,46.49
258,1,19,4,23.27
259,1,20,4,17.150000000000002
260,1,21,4,16.13
261,1,22,4,15.989999999999998
262,1,23,4,15.49
263,1,24,4,13.81
264,1,1,5,11.06
265,1,2,5,11.17
266,1,3,5,11.33
267,1,4,5,11.06
268,1,5,5,11.7
269,1,6,5,11.94
270,1,7,5,14.75
271,1,8,5,26.16
272,1,9,5,62.18
273,1,10,5,49.089999999999996
274,1,11,5,50.61
275,1,12,5,55.69
276,1,13,5,58.669999999999995
277,1,14,5,55.120000000000005
278,1,15,5,55.739999999999995
279,1,16,5,57.550000000000004
280,1,17,5,62.51
281,1,18,5,46.25
282,1,19,5,20.919999999999998
283,1,20,5,16.78
284,1,21,5,15.610000000000001
285,1,22,5,13.71
286,1,23,5,12.86
287,1,24,5,14.93
288,1,1,6,10.84
289,1,2,6,11.44
290,1,3,6,11.88
291,1,4,6,11.12
292,1,5,6,12.06
293,1,6,6,13.28
294,1,7,6,15.33
295,1,8,6,30.720000000000002
296,1,9,6,69.06
297,1,10,6,57.71
298,1,11,6,56.379999999999995
299,1,12,6,52.83
300,1,13,6,51.370000000000005
301,1,14,6,53.17
302,1,15,6,54.18
303,1,16,6,45.94
304,1,17,6,54.91
305,1,18,6,38.02
306,1,19,6,20.32
307,1,20,6,16.57
308,1,21,6,15.69
309,1,22,6,15.38
310,1,23,6,16.49
311,1,24,6,14.49
312,1,1,7,7.86
313,1,2,7,8.95
314,1,3,7,10.07
315,1,4,7,9.74
316,1,5,7,9.65
317,1,6,7,8.71
318,1,7,7,16.009999999999998
319,1,8,7,19.77
320,1,9,7,25.78
321,1,10,7,29.849999999999998
322,1,11,7,30.009999999999998
323,1,12,7,30.48
324,1,13,7,21.9
325,1,14,7,18.12
326,1,15,7,15.129999999999999
327,1,16,7,16.59
328,1,17,7,17.93
329,1,18,7,15.370000000000001
330,1,19,7,14.14
331,1,20,7,11.56
332,1,21,7,11.6
333,1,22,7,11.6
334,1,23,7,11.6
335,1,24,7,11.5
336,1,1,1,11.6
337,1,2,1,11.6
338,1,3,1,11.18
339,1,4,1,10.94
340,1,5,1,10.4
341,1,6,1,10.76
342,1,7,1,13.25
343,1,8,1,12.88
344,1,9,1,11.75
345,1,10,1,12.3
346,1,11,1,13.129999999999999
347,1,12,1,13.26
348,1,13,1,13.14
349,1,14,1,12.950000000000001
350,1,15,1,13.709999999999999
351,1,16,1,13.46
352,1,17,1,13.700000000000001
353,1,18,1,14.32
354,1,19,1,11.6
355,1,20,1,11.32
356,1,21,1,11.6
357,1,22,1,11.6
358,1,23,1,11.11
359,1,24,1,10.71
360,1,1,8,10.03
361,1,2,8,10.58
362,1,3,8,10.81
363,1,4,8,11.49
364,1,5,8,10.92
365,1,6,8,11.07
366,1,7,8,14.4
367,1,8,8,14.7
368,1,9,8,14.46
369,1,10,8,13.5
370,1,11,8,13.43
371,1,12,8,12.17
372,1,13,8,11.56
373,1,14,8,12.059999999999999
374,1,15,8,12.18
375,1,16,8,11.909999999999998
376,1,17,8,10.7
377,1,18,8,12.049999999999999
378,1,19,8,9.8
379,1,20,8,10.46
380,1,21,8,10.47
381,1,22,8,10.71
382,1,23,8,9.91
383,1,24,8,10.07
384,1,1,3,13.82
385,1,2,3,13.55
386,1,3,3,12.77
387,1,4,3,13.62
388,1,5,3,11.97
389,1,6,3,12.49
390,1,7,3,17.21
391,1,8,3,30.33
392,1,9,3,59.99
393,1,10,3,50.14
394,1,11,3,51.88
395,1,12,3,66.91
396,1,13,3,89.82
397,1,14,3,102.12
398,1,15,3,100.76
399,1,16,3,94.22
400,1,17,3,87.00999999999999
401,1,18,3,63.209999999999994
402,1,19,3,31.51
403,1,20,3,27.09
404,1,21,3,23.98
405,1,22,3,19.330000000000002
406,1,23,3,18.82
407,1,24,3,19.63
408,1,1,4,14.85
409,1,2,4,13.38
410,1,3,4,14.19
411,1,4,4,14.35
412,1,5,4,12.79
413,1,6,4,12.79
414,1,7,4,16.33
415,1,8,4,30.02
416,1,9,4,68.81
417,1,10,4,72.07
418,1,11,4,80.39
419,1,12,4,85.63
420,1,13,4,95.23
421,1,14,4,99.74000000000001
422,1,15,4,94.86000000000001
423,1,16,4,92.76
424,1,17,4,92.42
425,1,18,4,65.92
426,1,19,4,38.519999999999996
427,1,20,4,34.32
428,1,21,4,31.799999999999997
429,1,22,4,27.47
430,1,23,4,17.349999999999998
431,1,24,4,17.54
432,1,1,5,14.16
433,1,2,5,14.59
434,1,3,5,15.06
435,1,4,5,15.22
436,1,5,5,15.46
437,1,6,5,15.05
438,1,7,5,23.46
439,1,8,5,41.21
440,1,9,5,84.04
441,1,10,5,86.27
442,1,11,5,104.71000000000001
443,1,12,5,131.01999999999998
444,1,13,5,136.85
445,1,14,5,135.71
446,1,15,5,126.97
447,1,16,5,120.63
448,1,17,5,115.8
449,1,18,5,92.53
450,1,19,5,61.97
451,1,20,5,54.739999999999995
452,1,21,5,51.650000000000006
453,1,22,5,48.260000000000005
454,1,23,5,14.57
455,1,24,5,15.969999999999999
456,1,1,6,11.66
457,1,2,6,10.59
458,1,3,6,10.58
459,1,4,6,12.98
460,1,5,6,11.47
461,1,6,6,10.41
462,1,7,6,16.43
463,1,8,6,26.490000000000002
464,1,9,6,68.24
465,1,10,6,75.41
466,1,11,6,87.38
467,1,12,6,106.28999999999999
468,1,13,6,114.25
469,1,14,6,118.57
470,1,15,6,110.76
471,1,16,6,104.4
472,1,17,6,111.97
473,1,18,6,87.27
474,1,19,6,62.69
475,1,20,6,55.37
476,1,21,6,54.66
477,1,22,6,50.980000000000004
478,1,23,6,15.98
479,1,24,6,16.45
480,1,1,7,9.74
481,1,2,7,10.56
482,1,3,7,9.31
483,1,4,7,8.31
484,1,5,7,9.07
485,1,6,7,8.13
486,1,7,7,45.05
487,1,8,7,56.260000000000005
488,1,9,7,71.24000000000001
489,1,10,7,96.44
490,1,11,7,102.87
491,1,12,7,104.88
492,1,13,7,104.39000000000001
493,1,14,7,100.41
494,1,15,7,98.53999999999999
495,1,16,7,92.2
496,1,17,7,86.3
497,1,18,7,78.55000000000001
498,1,19,7,11.030000000000001
499,1,20,7,7.88
500,1,21,7,7.67
501,1,22,7,8.0
502,1,23,7,8.6
503,1,24,7,7.86
504,1,1,1,7.99
505,1,2,1,9.21
506,1,3,1,8.93
507,1,4,1,8.89
508,1,5,1,9.65
509,1,6,1,9.39
510,1,7,1,12.76
511,1,8,1,12.5
512,1,9,1,13.61
513,1,10,1,13.01
514,1,11,1,13.139999999999999
515,1,12,1,13.84
516,1,13,1,52.099999999999994
517,1,14,1,55.239999999999995
518,1,15,1,75.67
519,1,16,1,33.06
520,1,17,1,12.030000000000001
521,1,18,1,12.49
522,1,19,1,8.62
523,1,20,1,8.39
524,1,21,1,9.18
525,1,22,1,9.36
526,1,23,1,8.72
527,1,24,1,8.83
528,1,1,2,12.87
529,1,2,2,13.21
530,1,3,2,12.68
531,1,4,2,11.62
532,1,5,2,11.55
533,1,6,2,11.55
534,1,7,2,15.23
535,1,8,2,25.790000000000003
536,1,9,2,65.59
537,1,10,2,85.05
538,1,11,2,96.34
539,1,12,2,113.13
540,1,13,2,126.57
541,1,14,2,139.49
542,1,15,2,132.82
543,1,16,2,129.39999999999998
544,1,17,2,131.03
545,1,18,2,102.68
546,1,19,2,72.67
547,1,20,2,58.629999999999995
548,1,21,2,46.160000000000004
549,1,22,2,30.630000000000003
550,1,23,2,15.709999999999999
551,1,24,2,14.72
552,1,1,3,12.24
553,1,2,3,11.53
554,1,3,3,12.67
555,1,4,3,12.18
556,1,5,3,12.52
557,1,6,3,11.37
558,1,7,3,16.84
559,1,8,3,29.650000000000002
560,1,9,3,66.13
561,1,10,3,58.050000000000004
562,1,11,3,52.45
563,1,12,3,58.07
564,1,13,3,61.6
565,1,14,3,72.19
566,1,15,3,64.69
567,1,16,3,68.0
568,1,17,3,68.33
569,1,18,3,41.879999999999995
570,1,19,3,19.43
571,1,20,3,15.55
572,1,21,3,17.689999999999998
573,1,22,3,14.49
574,1,23,3,13.61
575,1,24,3,13.24
576,1,1,4,10.82
577,1,2,4,11.55
578,1,3,4,12.46
579,1,4,4,12.69
580,1,5,4,11.76
581,1,6,4,11.13
582,1,7,4,13.29
583,1,8,4,25.25
584,1,9,4,55.06
585,1,10,4,47.18
586,1,11,4,58.37
587,1,12,4,85.1
588,1,13,4,103.08
589,1,14,4,116.47
590,1,15,4,120.55
591,1,16,4,117.19999999999999
592,1,17,4,109.06
593,1,18,4,78.9
594,1,19,4,52.9
595,1,20,4,46.3
596,1,21,4,42.35
597,1,22,4,38.42
598,1,23,4,16.82
599,1,24,4,15.35
600,1,1,5,12.9
601,1,2,5,11.43
602,1,3,5,13.06
603,1,4,5,11.4
604,1,5,5,10.77
605,1,6,5,12.22
606,1,7,5,15.35
607,1,8,5,28.910000000000004
608,1,9,5,78.33000000000001
609,1,10,5,100.34
610,1,11,5,124.82000000000001
611,1,12,5,145.97
612,1,13,5,151.82
613,1,14,5,160.89000000000001
614,1,15,5,151.39
615,1,16,5,150.85
616,1,17,5,149.64
617,1,18,5,127.95
618,1,19,5,101.98
619,1,20,5,97.92
620,1,21,5,94.61
621,1,22,5,92.37
622,1,23,5,17.15
623,1,24,5,15.4
624,1,1,6,11.33
625,1,2,6,11.18
626,1,3,6,10.84
627,1,4,6,11.83
628,1,5,6,13.49
629,1,6,6,12.18
630,1,7,6,76.35
631,1,8,6,86.71
632,1,9,6,136.2
633,1,10,6,130.16
634,1,11,6,131.73000000000002
635,1,12,6,142.6
636,1,13,6,144.03
637,1,14,6,149.57999999999998
638,1,15,6,146.05
639,1,16,6,151.09
640,1,17,6,151.57
641,1,18,6,136.2
642,1,19,6,97.11
643,1,20,6,72.82000000000001
644,1,21,6,70.12
645,1,22,6,62.480000000000004
646,1,23,6,14.13
647,1,24,6,13.19
648,1,1,7,7.66
649,1,2,7,7.78
650,1,3,7,7.95
651,1,4,7,9.66
652,1,5,7,10.57
653,1,6,7,9.33
654,1,7,7,15.860000000000001
655,1,8,7,19.23
656,1,9,7,24.17
657,1,10,7,43.0
658,1,11,7,57.03
659,1,12,7,71.78999999999999
660,1,13,7,72.21000000000001
661,1,14,7,71.39999999999999
662,1,15,7,70.63
663,1,16,7,65.73
664,1,17,7,58.79
665,1,18,7,46.23
666,1,19,7,10.91
667,1,20,7,9.36
668,1,21,7,8.28
669,1,22,7,8.04
670,1,23,7,9.67
671,1,24,7,9.3
672,1,1,1,8.3
673,1,2,1,8.91
674,1,3,1,10.16
675,1,4,1,10.21
676,1,5,1,10.51
677,1,6,1,9.24
678,1,7,1,12.71
679,1,8,1,12.81
680,1,9,1,12.629999999999999
681,1,10,1,13.42
682,1,11,1,13.04
683,1,12,1,13.82
684,1,13,1,14.92
685,1,14,1,15.219999999999999
686,1,15,1,14.95
687,1,16,1,14.78
688,1,17,1,14.77
689,1,18,1,13.889999999999999
690,1,19,1,11.6
691,1,20,1,10.86
692,1,21,1,10.97
693,1,22,1,11.43
694,1,23,1,11.6
695,1,24,1,11.6
696,1,1,2,15.46
697,1,2,2,15.46
698,1,3,2,15.02
699,1,4,2,15.46
700,1,5,2,15.46
701,1,6,2,15.46
702,1,7,2,53.64
703,1,8,2,71.33
704,1,9,2,111.61000000000001
705,1,10,2,113.84
706,1,11,2,123.06
707,1,12,2,138.77
708,1,13,2,144.96
709,1,14,2,148.41
710,1,15,2,138.69
711,1,16,2,130.69
712,1,17,2,134.46
713,1,18,2,117.78
714,1,19,2,94.83
715,1,20,2,89.53
716,1,21,2,89.04
717,1,22,2,83.05000000000001
718,1,23,2,14.09
719,1,24,2,14.49
720,1,1,3,12.53
721,1,2,3,12.04
722,1,3,3,10.79
723,1,4,3,10.43
724,1,5,3,13.0
725,1,6,3,13.23
726,1,7,3,64.92
727,1,8,3,82.63
728,1,9,3,129.72
729,1,10,3,128.43
730,1,11,3,132.02
731,1,12,3,135.01
732,1,13,3,149.01999999999998
733,1,14,3,149.42000000000002
734,1,15,3,148.76999999999998
735,1,16,3,151.82999999999998
736,1,17,3,159.59
737,1,18,3,147.47
738,1,19,3,116.41
739,1,20,3,109.78999999999999
740,1,21,3,106.1
741,1,22,3,102.6
742,1,23,3,19.61
743,1,24,3,19.62
744,2,1,4,14.66
745,2,2,4,13.89
746,2,3,4,14.46
747,2,4,4,14.38
748,2,5,4,12.95
749,2,6,4,12.94
750,2,7,4,85.83
751,2,8,4,103.28
752,2,9,4,134.95
753,2,10,4,132.84
754,2,11,4,135.25
755,2,12,4,142.45999999999998
756,2,13,4,155.51999999999998
757,2,14,4,168.93
758,2,15,4,164.03
759,2,16,4,165.93
760,2,17,4,169.97
761,2,18,4,152.31
762,2,19,4,109.31
763,2,20,4,93.91000000000001
764,2,21,4,93.97999999999999
765,2,22,4,97.11999999999999
766,2,23,4,17.38
767,2,24,4,18.43
768,2,1,5,13.36
769,2,2,5,12.69
770,2,3,5,13.57
771,2,4,5,12.11
772,2,5,5,10.9
773,2,6,5,12.08
774,2,7,5,51.36
775,2,8,5,63.86
776,2,9,5,102.1
777,2,10,5,105.5
778,2,11,5,113.38
779,2,12,5,130.38
780,2,13,5,145.37
781,2,14,5,149.76
782,2,15,5,136.84
783,2,16,5,128.15
784,2,17,5,134.76
785,2,18,5,120.38
786,2,19,5,97.24
787,2,20,5,91.87
788,2,21,5,88.03
789,2,22,5,71.81
790,2,23,5,18.470000000000002
791,2,24,5,16.74
792,2,1,6,12.25
793,2,2,6,12.36
794,2,3,6,13.89
795,2,4,6,12.56
796,2,5,6,11.75
797,2,6,6,13.21
798,2,7,6,16.09
799,2,8,6,30.28
800,2,9,6,65.51
801,2,10,6,70.25
802,2,11,6,87.99000000000001
803,2,12,6,102.84
804,2,13,6,109.02
805,2,14,6,117.34
806,2,15,6,107.86000000000001
807,2,16,6,105.08
808,2,17,6,105.37
809,2,18,6,80.13
810,2,19,6,55.39
811,2,20,6,42.17
812,2,21,6,35.55
813,2,22,6,26.29
814,2,23,6,15.52
815,2,24,6,14.55
816,2,1,7,7.84
817,2,2,7,8.87
818,2,3,7,8.34
819,2,4,7,9.39
820,2,5,7,8.4
821,2,6,7,9.38
822,2,7,7,14.18
823,2,8,7,22.28
824,2,9,7,28.650000000000002
825,2,10,7,32.84
826,2,11,7,31.15
827,2,12,7,33.3
828,2,13,7,24.3
829,2,14,7,19.2
830,2,15,7,18.57
831,2,16,7,15.38
832,2,17,7,14.91
833,2,18,7,13.54
834,2,19,7,13.200000000000001
835,2,20,7,9.18
836,2,21,7,8.15
837,2,22,7,9.78
838,2,23,7,9.81
839,2,24,7,9.48
840,2,1,1,8.52
841,2,2,1,9.24
842,2,3,1,9.25
843,2,4,1,9.6
844,2,5,1,9.84
845,2,6,1,10.0
846,2,7,1,11.28
847,2,8,1,11.99
848,2,9,1,10.91
849,2,10,1,11.120000000000001
850,2,11,1,11.909999999999998
851,2,12,1,12.58
852,2,13,1,13.65
853,2,14,1,25.939999999999998
854,2,15,1,22.46
855,2,16,1,13.49
856,2,17,1,12.79
857,2,18,1,13.06
858,2,19,1,10.08
859,2,20,1,10.25
860,2,21,1,10.67
861,2,22,1,10.47
862,2,23,1,9.44
863,2,24,1,10.2
864,2,1,2,14.23
865,2,2,2,12.93
866,2,3,2,12.12
867,2,4,2,11.72
868,2,5,2,11.76
869,2,6,2,11.95
870,2,7,2,14.58
871,2,8,2,27.759999999999998
872,2,9,2,54.74
873,2,10,2,43.449999999999996
874,2,11,2,44.74
875,2,12,2,49.269999999999996
876,2,13,2,62.17
877,2,14,2,68.86
878,2,15,2,62.21
879,2,16,2,58.59
880,2,17,2,62.42
881,2,18,2,41.54
882,2,19,2,19.53
883,2,20,2,19.369999999999997
884,2,21,2,17.3
885,2,22,2,17.459999999999997
886,2,23,2,18.13
887,2,24,2,16.13
888,2,1,3,13.11
889,2,2,3,14.0
890,2,3,3,13.05
891,2,4,3,11.51
892,2,5,3,12.76
893,2,6,3,12.34
894,2,7,3,16.6
895,2,8,3,32.230000000000004
896,2,9,3,63.11
897,2,10,3,68.63
898,2,11,3,77.11
899,2,12,3,80.74000000000001
900,2,13,3,94.97
901,2,14,3,98.68
902,2,15,3,91.03999999999999
903,2,16,3,93.83
904,2,17,3,95.44
905,2,18,3,79.1
906,2,19,3,48.91
907,2,20,3,38.0
908,2,21,3,33.76
909,2,22,3,26.889999999999997
910,2,23,3,17.169999999999998
911,2,24,3,14.979999999999999
912,2,1,4,12.23
913,2,2,4,13.23
914,2,3,4,12.31
915,2,4,4,11.69
916,2,5,4,12.14
917,2,6,4,12.95
918,2,7,4,15.530000000000001
919,2,8,4,26.86
920,2,9,4,54.059999999999995
921,2,10,4,50.6
922,2,11,4,45.54
923,2,12,4,46.739999999999995
924,2,13,4,54.38
925,2,14,4,50.08
926,2,15,4,43.15
927,2,16,4,46.06
928,2,17,4,50.77
929,2,18,4,40.66
930,2,19,4,20.94
931,2,20,4,18.27
932,2,21,4,17.23
933,2,22,4,15.08
934,2,23,4,15.64
935,2,24,4,17.43
936,2,1,5,12.74
937,2,2,5,13.65
938,2,3,5,12.0
939,2,4,5,11.79
940,2,5,5,11.94
941,2,6,5,10.78
942,2,7,5,13.57
943,2,8,5,27.17
944,2,9,5,59.0
945,2,10,5,49.45
946,2,11,5,45.74
947,2,12,5,56.61
948,2,13,5,54.68000000000001
949,2,14,5,58.54
950,2,15,5,48.89
951,2,16,5,53.28
952,2,17,5,56.5
953,2,18,5,45.480000000000004
954,2,19,5,20.76
955,2,20,5,19.23
956,2,21,5,19.369999999999997
957,2,22,5,18.779999999999998
958,2,23,5,19.6
959,2,24,5,17.900000000000002
960,2,1,6,13.43
961,2,2,6,14.67
962,2,3,6,15.46
963,2,4,6,15.46
964,2,5,6,15.46
965,2,6,6,14.36
966,2,7,6,16.89
967,2,8,6,28.37
968,2,9,6,66.5
969,2,10,6,56.96
970,2,11,6,61.28
971,2,12,6,77.69
972,2,13,6,78.99
973,2,14,6,78.07
974,2,15,6,75.49000000000001
975,2,16,6,73.21
976,2,17,6,70.84
977,2,18,6,49.75
978,2,19,6,22.919999999999998
979,2,20,6,18.029999999999998
980,2,21,6,16.97
981,2,22,6,13.8
982,2,23,6,14.06
983,2,24,6,16.38
984,2,1,7,10.44
985,2,2,7,10.38
986,2,3,7,10.21
987,2,4,7,9.16
988,2,5,7,10.12
989,2,6,7,9.54
990,2,7,7,17.69
991,2,8,7,22.06
992,2,9,7,23.35
993,2,10,7,29.55
994,2,11,7,33.09
995,2,12,7,43.95
996,2,13,7,42.19
997,2,14,7,43.25
998,2,15,7,41.599999999999994
999,2,16,7,36.01
1000,2,17,7,32.44
1001,2,18,7,26.89
1002,2,19,7,13.28
1003,2,20,7,10.19
1004,2,21,7,9.78
1005,2,22,7,9.2
1006,2,23,7,8.55
1007,2,24,7,9.7
1008,2,1,1,9.39
1009,2,2,1,8.9
1010,2,3,1,7.97
1011,2,4,1,9.39
1012,2,5,1,9.88
1013,2,6,1,10.51
1014,2,7,1,13.89
1015,2,8,1,14.85
1016,2,9,1,14.02
1017,2,10,1,12.65
1018,2,11,1,12.75
1019,2,12,1,14.030000000000001
1020,2,13,1,13.22
1021,2,14,1,12.31
1022,2,15,1,11.7
1023,2,16,1,10.34
1024,2,17,1,10.4
1025,2,18,1,9.98
1026,2,19,1,7.44
1027,2,20,1,8.79
1028,2,21,1,8.3
1029,2,22,1,8.97
1030,2,23,1,9.73
1031,2,24,1,9.46
1032,2,1,2,11.7
1033,2,2,2,10.99
1034,2,3,2,11.0
1035,2,4,2,11.06
1036,2,5,2,10.26
1037,2,6,2,12.48
1038,2,7,2,16.21
1039,2,8,2,28.09
1040,2,9,2,58.92999999999999
1041,2,10,2,77.5
1042,2,11,2,90.16
1043,2,12,2,107.87
1044,2,13,2,112.45
1045,2,14,2,122.94999999999999
1046,2,15,2,122.95000000000002
1047,2,16,2,118.99000000000001
1048,2,17,2,121.65
1049,2,18,2,96.56
1050,2,19,2,67.26
1051,2,20,2,57.22
1052,2,21,2,49.06
1053,2,22,2,37.08
1054,2,23,2,16.2
1055,2,24,2,14.86
1056,2,1,3,11.97
1057,2,2,3,11.47
1058,2,3,3,11.9
1059,2,4,3,13.48
1060,2,5,3,13.27
1061,2,6,3,14.08
1062,2,7,3,18.68
1063,2,8,3,29.6
1064,2,9,3,61.720000000000006
1065,2,10,3,53.79
1066,2,11,3,53.88
1067,2,12,3,58.660000000000004
1068,2,13,3,62.56
1069,2,14,3,62.51
1070,2,15,3,57.58
1071,2,16,3,61.28
1072,2,17,3,66.05
1073,2,18,3,49.44
1074,2,19,3,25.849999999999998
1075,2,20,3,20.23
1076,2,21,3,19.03
1077,2,22,3,18.360000000000003
1078,2,23,3,17.110000000000003
1079,2,24,3,17.84
1080,2,1,4,12.75
1081,2,2,4,12.57
1082,2,3,4,11.96
1083,2,4,4,10.97
1084,2,5,4,12.79
1085,2,6,4,11.19
1086,2,7,4,16.119999999999997
1087,2,8,4,29.2
1088,2,9,4,55.800000000000004
1089,2,10,4,51.22
1090,2,11,4,47.03
1091,2,12,4,45.79
1092,2,13,4,54.129999999999995
1093,2,14,4,51.339999999999996
1094,2,15,4,48.74
1095,2,16,4,49.19
1096,2,17,4,52.25
1097,2,18,4,43.519999999999996
